type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bellevue,Wilburton,25,228240,0.002412459,0.52,27,8,36,0.224489796,-0.264705882,0.042806036,-0.001773161,0.108235294,-23,-0.333333333,-0.142857143,0.170435742
neighborhood,Bellevue,Woodridge,24,309083,-0.014171553,0.25,11,8,30,0.155555556,0.2,0.020109575,-0.024171553,-0.2,-6,0.333333333,0.071428571,0.155555556
neighborhood,Bothell,Canyon Creek,6,452434,-0.004092051,0.5,204,0,0,,,,,,,,-1,
neighborhood,Bothell,Canyon Park,16,300000,0.00566343,0.5,5,1,7,0.333333333,1.666666667,0.163918526,0.019490371,0.5,31,-0.666666667,0.75,-0.083333333
neighborhood,Bothell,Downtown,30,178310,0.002924212,0.333333333,20,21,55,0.264,-0.210526316,0.070300964,-0.016811881,-0.087719298,4,0.105263158,-0.083333333,0.159652174
neighborhood,Bothell,Fitzgerald,40,174114,1.74E-05,0.325,8,18,59,0.157407407,0.666666667,0.155629007,-0.011081692,-0.05,39,1.571428571,1.565217391,-0.00538329
neighborhood,Bothell,Lake Pleasant,9,234166,-0.008201058,0.333333333,12,5,16,0.148148148,1.25,0.672614286,-0.263806439,-0.666666667,4,0.666666667,0.777777778,0.148148148
neighborhood,Bothell,Mays Pond,28,294928,-0.009111293,0.142857143,31,13,46,0.303797468,1.153846154,0.076984875,-0.029770794,-0.395604396,-22,2.25,2.066666667,0.183797468
neighborhood,Bothell,Maywood,3,,,,,3,14,0.411764706,-0.571428571,,,,,,3.666666667,0.411764706
neighborhood,Bothell,Norway Hill,23,174013,0.010192736,0.434782609,31,9,22,0.232142857,0.045454545,-0.082297039,0.009583051,0.162055336,-20,-0.181818182,-0.185185185,0.121031746
neighborhood,Bothell,Queensborough,4,195500,-0.022011006,0,79,3,4,0.466666667,-0.764705882,-0.044864498,-0.006200945,-0.235294118,-66,-0.25,-0.636363636,0.284848485
neighborhood,Bothell,Queensgate,65,238018,2.70E-05,0.323076923,11,37,158,0.190909091,0.140350877,0.185437159,-0.000325259,-0.062887989,-5,0.947368421,1.289855072,-0.076332288
neighborhood,Bothell,Shelton View,0,,,,,1,3,0,,,,,,,-0.571428571,0
neighborhood,Bothell,Thrasher's Corner,0,,,,,4,12,0.28,,,,,,-0.555555556,-0.571428571,0.28
neighborhood,Bothell,Westhill,21,242571,-0.004250908,0.19047619,12,6,27,0,0.75,-0.087934937,0.019397955,0.19047619,34,-0.142857143,0.125,-0.341463415
neighborhood,Brier,Brier,25,202188,-0.002037387,0.28,6,6,17,0.352941176,1.083333333,0.961409738,-0.009428691,-0.22,35,1,1.833333333,0.352941176
neighborhood,Burien,Chelsea Park,0,,,,,1,3,,-1,,,,,,0,
neighborhood,Burien,Downtown,27,270451,-0.075227425,0.111111111,85,7,23,0.068181818,-0.205882353,0.298734165,-0.072928217,0.111111111,-68,-0.666666667,-0.452380952,-0.002130682
neighborhood,Burien,Evansville,0,,,,,1,3,,-1,,,,,,0,
neighborhood,Burien,Five Corners,4,85000,0.001177856,0,34,5,15,0.344827586,-0.636363636,0.033246216,0.002723259,0,18,-0.285714286,0.5,-0.083743842
neighborhood,Burien,Gregory Heights,4,85000,0.001177856,0,34,4,10,0.318181818,-0.333333333,-0.635935325,0.009677574,0,0,-0.2,-0.166666667,-0.056818182
neighborhood,Burien,Lake Burien,0,,,,,1,3,0,-1,,,,,,-0.4,0
