type,city,neighborhood,sold,price,toList,aboveList,dom,forSale,newlyListed,priceDrop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,newlyListedYoY,priceDropYoY
neighborhood,Bellevue,Northwest Bellevue,100,1439090,0.002782045,0.4,11,47,180,0.215053763,-0.090909091,0.536340344,0.009916736,0.109090909,1,0.205128205,0.132075472,0.081433074
neighborhood,Bellevue,Northwest Village,0,,,,,1,3,,,,,,,,0.5,
neighborhood,Bellevue,Old Bellevue,0,,,,,0,0,,,,,,,,,
neighborhood,Bellevue,Overlake,39,723717,0.004768717,0.384615385,6,8,44,0,0.695652174,0.294145101,-0.042801562,-0.267558528,2,0,0.222222222,0
neighborhood,Bellevue,Phantom Lake,1,,,,,1,1,,-0.75,,,,,,-0.5,
neighborhood,Bellevue,Pikes Peak,4,920000,0.022279016,1,19,2,2,0.5,,,,,,,-0.666666667,0.333333333
neighborhood,Bellevue,Rock Creek,9,722777,0.030661247,0.666666667,5,3,12,,2,,,,,,1.4,
neighborhood,Bellevue,Sammamish,100,590971,0.053002171,0.7,6,35,160,0.118483412,0.098901099,0.215057168,0.044403469,0.216483516,1,-0.339622642,-0.230769231,-0.073340487
neighborhood,Bellevue,Sherwood Forest,2,,,,,2,4,,-0.777777778,,,,,-0.333333333,-0.666666667,
neighborhood,Bellevue,Somerset,59,880115,0.064774797,0.728813559,5,26,135,0.134615385,-0.531746032,0.181866891,0.027073533,-0.001345171,0,-0.161290323,-0.15625,0.080267559
neighborhood,Bellevue,Southwest Bellevue,23,1061169,-0.033985919,0,15,12,40,0.191780822,-0.28125,-0.041575973,-0.044491302,-0.375,7,0,0.212121212,-0.083581497
neighborhood,Bellevue,Spiritridge,19,552392,0.075341593,0.789473684,16,4,24,0.125,1.714285714,0.436384959,0.161055879,0.789473684,161,0.333333333,0.411764706,-0.025
neighborhood,Bellevue,Summit,3,,,,,2,7,,-0.769230769,,,,,-0.714285714,-0.666666667,
neighborhood,Bellevue,Sunset Community Org,31,679306,0.010209662,0.419354839,11,6,26,0.205882353,1.214285714,0.373545183,-0.015559092,-0.00921659,-1,1,0.625,
neighborhood,Bellevue,Tam O'Shanter,16,657062,0.006062709,0.4375,15,6,32,0.081081081,-0.384615385,0.025957236,0.015124346,0.052884615,8,-0.25,0.333333333,
neighborhood,Bellevue,Vasa,25,684322,0.02727183,0.48,38,10,45,0.096774194,-0.242424242,0.117426426,0.030840908,0.086060606,-28,-0.411764706,-0.285714286,-0.160651549
neighborhood,Bellevue,Vuecrest,6,1325000,0.024346974,1,5,3,10,0.384615385,0,0.115789474,0.034355314,1,81,-0.4,0.111111111,0.016194332
neighborhood,Bellevue,Vuemont I & II,1,,,,,1,1,,-0.833333333,,,,,,,
neighborhood,Bellevue,Vuemont South,2,,,,,3,3,,-0.666666667,,,,,,-0.5,
neighborhood,Bellevue,West Bellevue,99,1155494,-0.004656198,0.333333333,7,44,182,0.169172932,0.178571429,0.201669346,0.008566488,-0.047619048,15,0.189189189,0.610619469,0.012922932
neighborhood,Bellevue,West Lake Hills,106,576877,0.000774953,0.443396226,6,32,150,0.174603175,0.23255814,0.153890159,-0.00269954,-0.079859588,1,0.032258065,-0.025974026,0.052262749
neighborhood,Bellevue,Westwood Highlands,6,825433,0.052886761,0.666666667,14,4,11,0.153846154,-0.454545455,0.18433509,0.023689035,0.03030303,-7,0.333333333,-0.153846154,
neighborhood,Bellevue,Whispering Heights,9,799000,-0.025641026,0.333333333,9,3,8,0.4,-0.526315789,0.42997251,-0.061454153,-0.50877193,-4,-0.5,-0.764705882,
neighborhood,Bellevue,Wilburton,37,683648,0.009451631,0.513513514,5,9,49,0.176470588,-0.075,0.102274046,-0.034191305,-0.136486486,10,-0.25,0.042553191,-0.004084967
