region,city,neighborhood,sold,price,toList,aboveList,dom,forSale,drop,soldYoY,priceYoY,toListYoY,aboveListYoY,domYoY,forSaleYoY,dropYoY
neighborhood,Bellevue,Newport Yacht Club,5,1225000,0.049,0.8,7,3,,-0.615,0.17,0.056,0.492,17,-0.625,
neighborhood,Bellevue,North Bellevue,17,1007882,-0.007,0.176,24,13,0.263,-0.605,0.286,-0.011,-0.289,-12,0.444,0.224
neighborhood,Bellevue,Northeast Bellevue,101,522693,0.015,0.604,5,29,0.185,-0.388,-0.001,0,0.034,2,-0.396,0.147
neighborhood,Bellevue,Northtowne,38,1190000,0.048,0.658,11,21,0.19,-0.433,0.471,0.046,0.225,1,0.235,0.132
neighborhood,Bellevue,Northwest Bellevue,76,1440289,0.007,0.421,13,44,0.18,-0.315,0.62,0.012,0.106,-1,0.189,0.05
neighborhood,Bellevue,Northwest Village,0,,,,,1,,,,,,,,
neighborhood,Bellevue,Old Bellevue,0,,,,,0,,,,,,,,
neighborhood,Bellevue,Overlake,32,732341,-0.001,0.219,8,6,0,0.28,0.245,-0.038,-0.421,0,-0.25,0
neighborhood,Bellevue,Pikes Peak,4,920000,0.022,1,19,2,0.364,,,,,,,0.114
neighborhood,Bellevue,Rock Creek,6,750000,-0.007,0.333,11,2,,1,0.02,-0.03,-0.667,-5,,
neighborhood,Bellevue,Sammamish,96,521241,0.048,0.677,7,31,0.096,0.055,0.1,0.039,0.183,0,-0.367,-0.086
neighborhood,Bellevue,Sherwood Forest,2,,,,,1,,-0.714,,,,,,
neighborhood,Bellevue,Somerset,48,912958,0.065,0.792,11,21,0.096,-0.59,0.234,0.029,0.065,-6,-0.3,0.04
neighborhood,Bellevue,Southwest Bellevue,21,1145829,-0.032,0.048,31,12,0.208,-0.323,0.028,-0.045,-0.372,-10,0,-0.063
neighborhood,Bellevue,Spiritridge,17,564771,0.066,0.765,18,4,0.095,1.429,0.437,0.109,0.622,156,0.333,-0.063
neighborhood,Bellevue,Summit,3,1170992,-0.04,0.333,22,1,,-0.7,-0.149,0.012,0.133,11,,
neighborhood,Bellevue,Sunset Community Org,27,712493,-0.002,0.37,13,5,0.143,1.077,0.437,-0.025,-0.014,-2,0.667,
neighborhood,Bellevue,Tam O'Shanter,17,681753,0.009,0.471,14,5,,-0.292,0.076,0.017,0.096,7,-0.375,
neighborhood,Bellevue,Vasa,25,535337,0.036,0.52,56,9,0.096,-0.219,-0.103,0.036,0.083,-45,-0.438,-0.149
neighborhood,Bellevue,Vuecrest,3,1500000,0.001,1,7,3,0.333,-0.5,0.246,0.022,1,116,-0.25,-0.078
neighborhood,Bellevue,Vuemont South,1,,,,,3,,-0.833,,,,,0.5,
neighborhood,Bellevue,West Bellevue,78,1049333,0.004,0.372,6,41,0.161,-0.124,0.089,0.012,-0.044,14,0.079,0.001
neighborhood,Bellevue,West Lake Hills,87,573609,0.001,0.448,7,27,0.142,-0.054,0.162,-0.002,-0.041,0,-0.069,0.033
neighborhood,Bellevue,Westwood Highlands,4,775000,0.072,1,23,4,0.25,-0.636,0.112,0.043,0.364,-15,0.333,
neighborhood,Bellevue,Whispering Heights,2,,,,,2,0.4,-0.905,,,,,,
neighborhood,Bellevue,Wilburton,30,747333,0.007,0.467,7,8,0.17,-0.189,0.182,-0.035,-0.155,7,-0.273,-0.006
neighborhood,Bellevue,Woodridge,23,703065,0.071,0.826,6,10,0.098,-0.574,0.054,0.055,0.326,-1,-0.474,0.001
